id,value,Author,Skill Statement,parent_id,Keywords,Standards,Certifications,Occupation Major Groups,Occupation Minor Groups,Broad Occupations,Detailed Occupations,O*Net Job Codes,Employers,Alignment Name,Alignment URL,Alignment Framework
https://osmt.wgu.edu/api/skills/c8dfe3d9-9aab-4641-87ef-43e2d6c190f6,Language and Culture Integration,Western Governors University,Integrate the use of language and culture in student learning.,Culturally Sensitive,21st_Century_Skills; Cultural Awareness; SEL; Culturally Sensitive; Teaching; SEL: Social Awareness; WGUSID: 4558,ISTE_Educators_4d; InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_5d; ISTE_Educators_2b; ISTE_Educators_5b; ISTE_Educators_6a; ISTE_Educators_6b; ISTE_Educators_6c; ISTE_Educators_6d; ISTE.Coach.PLF.5bAAQEP_1a; ISTE.Coach.C.3b; ISTE.Coach.CA.1b; AAQEP_1c; ISTE_EdLeaders_3d; ISTE_Educators_4c; AAQEP_2b; InTASC_4m,,25-0000,25-1000; 25-2000; 25-4000; 25-9000,25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Culturally Sensitive,https://skills.emsidata.com/skills/KSOLBOKKX23X15NAC1IN,
https://osmt.wgu.edu/api/skills/8d4bee61-753c-4dcf-a4ec-f8e70ed0a421,Student Learning Experience Development,Western Governors University,Develop student learning experiences with culturally appropriate language.,Culturally Sensitive,21st_Century_Skills; Cultural Awareness; SEL; Culturally Sensitive; SEL: Social Awareness; WGUSID: 6669,ISTE_Educators_4d; InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_5d; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE.Coach.PLF.5bAAQEP_1a; ISTE.Coach.C.3b; ISTE.Coach.CA.1b; AAQEP_1c; ISTE_EdLeaders_3d; AAQEP_2b,,25-0000,25-4000; 25-9000,25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Culturally Sensitive,https://skills.emsidata.com/skills/KSOLBOKKX23X15NAC1IN,
https://osmt.wgu.edu/api/skills/f1c3a0d1-ebd5-4e73-a6a9-bedc65cd827b,Learner Assessment Strategy Development,Western Governors University,Develop a learner assessment strategy.,Curriculum Development,Certifications; Curriculum Development; WGUSID: 2531,InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4b; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ISTE.Coach.PLF.5c; ATD.Prof.LS; ISTE.Coach.DDM.6c; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; ISTE.Coach.PLF.5a; AAQEP_1d; ISTE_Educators_1c; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE.Coach.PLF.5cAAQEP_1a; ISTE.Coach.LD.4c; ISTE_EdLeaders_3e,,25-0000,25-4000; 25-9000,25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Curriculum Development,https://skills.emsidata.com/skills/KS122LF6587VF0NZFZJW,
https://osmt.wgu.edu/api/skills/fae8d283-c654-4bbe-b15b-4e5030207686,Delivery Mode Determination,Western Governors University,Determine the best delivery mode based on student audience and content to be presented.,Curriculum Development,Certifications; Curriculum Development; WGUSID: 2273,InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ISTE.Coach.PLF.5a; ISTE_Educators_1c; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE.Coach.LD.4c; ISTE.Coach.PLF.5bAAQEP_1a; ISTE.Coach.CA.1b; ISTE_EdLeaders_3d,,25-0000,25-4000; 25-9000,25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Curriculum Development,https://skills.emsidata.com/skills/KS122LF6587VF0NZFZJW,
https://osmt.wgu.edu/api/skills/96549ae7-5770-4e14-b486-1bbe203ad604,Lesson Design,Western Governors University,"Design a lesson that encourages students' construction of knowledge, skill acquisition, and disciplined thinking processes.",Curriculum Development,Curriculum Development; WGUSID: 2017,InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4b; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ATD.Prof.LS; ISTE_Educators_1c; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE.Coach.PLF.5bAAQEP_1a; ISTE_EdLeaders_3d; ISTE_EdLeaders_3c; ISTE_EdLeaders_3e; InTASC_7a; NSQ_Teaching_B2,,25-0000,25-1000; 25-2000; 25-4000; 25-9000,25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Curriculum Development,https://skills.emsidata.com/skills/KS122LF6587VF0NZFZJW,
https://osmt.wgu.edu/api/skills/12bda819-f8db-4432-9197-c55b5ed028ce,Linked Concept Instructional Design,Western Governors University,Design instruction that links new concepts to familiar concepts and makes connections to prior experiences.,Curriculum Development,Certifications; Curriculum Development; WGUSID: 2112; TC Disposition 1; Healthy Learning Strategies,InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4b; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ATD.Prof.LS; ATD.Org.FR; ISTE.Coach.PLF.5a; ISTE_Educators_1c; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE.Coach.LD.4c; ISTE.Coach.PLF.5bAAQEP_1a; ISTE_EdLeaders_3d; ISTE_EdLeaders_3c; ATD.Pers.LL; ISTE_EdLeaders_3e,,25-0000,25-4000; 25-9000,25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Curriculum Development,https://skills.emsidata.com/skills/KS122LF6587VF0NZFZJW,
https://osmt.wgu.edu/api/skills/455c7a17-3576-4fce-ab93-32ae48b72664,Diverse Learning Experience Design,Western Governors University,"Design learning experiences that encourage students to understand, question, and analyze ideas from diverse perspectives.",Curriculum Development,Certifications; Curriculum Development; WGUSID: 2123,InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ISTE.Coach.PLF.5a; ISTE_Educators_1c; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE.Coach.LD.4c; ISTE.Coach.PLF.5bAAQEP_1a; AAQEP_1b; ISTE.Coach.C.3b; ISTE_EdLeaders_3d; ISTE_EdLeaders_3c; AAQEP_1e; ISTE_EdLeaders_3e; InTASC_7a; NSQ_Teaching_B2,,11-0000; 25-0000,11-9000; 25-1000; 25-2000; 25-4000; 25-9000,11-9030; 25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9030; 25-9090,11-9033; 11-9039; 25-4022; 25-9031,,,Curriculum Development,https://skills.emsidata.com/skills/KS122LF6587VF0NZFZJW,
https://osmt.wgu.edu/api/skills/dea63ec7-c3da-41a9-b43e-3fb9a7ac4132,Learning Technology Capabilities Evaluation for Data Outputs,Western Governors University,Evaluate learning technology capabilities for data outputs.,Data Analysis,Data Analysis; Instructional Design; Learning Analytics; Learning Management Systems; WGUSID: 10938,ISTE_Educators_7c; InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c; ISTE_Educators_7a; ISTE_Educators_7b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d,,25-0000,25-9000,25-9030,25-9031,,,Data Analysis,https://skills.emsidata.com/skills/KS120GV6C72JMSZKMTD7,
https://osmt.wgu.edu/api/skills/0f4ab5f1-1782-4832-b24e-f8715f914b7d,Decide with Learning Analytics,Western Governors University,Make instructional design decisions using learning analytics.,Data Analysis,Data Analysis; Instructional Design; Learner Analytics; WGUSID: 10944,InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE_EdLeaders_3a; ISTE_EdLeaders_3b,,25-0000,25-9000,25-9030,25-9031,,,Data Analysis,https://skills.emsidata.com/skills/KS120GV6C72JMSZKMTD7,
https://osmt.wgu.edu/api/skills/e0c3dfdb-a1f4-4e6c-bbdd-5a6aa3f4ba49,Interpret Learning Analytics,Western Governors University,Interpret learning analytics data from a data dashboard.,Data Analysis,Data Analysis; Instructional Design; Learner Analytics; WGUSID: 10945,ISTE_Educators_7c; InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c; ISTE_Educators_7a; ISTE_Educators_7b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d,,25-0000,25-9000,25-9030,25-9031,,,Data Analysis,https://skills.emsidata.com/skills/KS120GV6C72JMSZKMTD7,
https://osmt.wgu.edu/api/skills/f93274ca-416f-4f1f-a3de-c07749156b24,Analyze Learning Data,Western Governors University,Analyze learning analytics with learning software.,Data Analysis,Data Analysis; Instructional Design; Learner Analytics; WGUSID: 10960,ISTE_Educators_7c; InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c; ISTE_Educators_7a; ISTE_Educators_7b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; NSQ_Teaching_D1,,25-0000,25-9000,25-9030,25-9031,,,Data Analysis,https://skills.emsidata.com/skills/KS120GV6C72JMSZKMTD7,
https://osmt.wgu.edu/api/skills/275113c0-3964-4a38-ae71-4c1d204ebd2a,Infer from Learning Data,Western Governors University,Make inferences from learning analytics data.,Data Analysis,Data Analysis; Instructional Design; Learner Analytics; WGUSID: 10961,ISTE_Educators_7c; InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c; ISTE_Educators_7a; ISTE_Educators_7b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d,,25-0000,25-9000,25-9030,25-9031,,,Data Analysis,https://skills.emsidata.com/skills/KS120GV6C72JMSZKMTD7,
https://osmt.wgu.edu/api/skills/4c2f04a6-99c0-4cea-b705-e1cccca492bb,Address Psychometric Concerns,Western Governors University,Address psychometric concerns with learning analytics.,Data Analysis,Data Analysis; Instructional Design; Learner Analytics; Psychometrics; WGUSID: 10964,ISTE_Educators_7c; ISTE_EdLeaders_2d; InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE_Educators_7a; ISTE_Educators_7b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d,,25-0000,25-9000,25-9030,25-9031,,,Data Analysis,https://skills.emsidata.com/skills/KS120GV6C72JMSZKMTD7,
https://osmt.wgu.edu/api/skills/f2580dbe-b3d1-4914-a5ab-ee8b2a58023f,Examine Educational Data,Western Governors University,Examine historical educational data for descriptive analytics.,Data Analysis,Data Analysis; Instructional Design; Learner Analytics; WGUSID: 10965,ISTE_Educators_7c; InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c; ISTE_Educators_7a; ISTE_Educators_7b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d,,25-0000,25-9000,25-9030,25-9031,,,Data Analysis,https://skills.emsidata.com/skills/KS120GV6C72JMSZKMTD7,
https://osmt.wgu.edu/api/skills/d6594dfa-4db5-453d-9df5-ed7e083c5e7d,Identify Educational Patterns,Western Governors University,Identify educational trends or patterns over time with descriptive learning analytics.,Data Analysis,Data Analysis; Instructional Design; Learner Analytics; WGUSID: 10966,ISTE_Educators_7c; InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c; ISTE_Educators_7a; ISTE_Educators_7b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d,,25-0000,25-9000,25-9030,25-9031,,,Data Analysis,https://skills.emsidata.com/skills/KS120GV6C72JMSZKMTD7,
https://osmt.wgu.edu/api/skills/c922279c-a75f-40d1-992a-fb421f0f0497,Analyze Decisions,Western Governors University,Analyze impacts and effects of past decisions using prescriptive learning analytics.,Data Analysis,Data Analysis; Instructional Design; Learner Analytics; WGUSID: 10968,InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d,,25-0000,25-9000,25-9030,25-9031,,,Data Analysis,https://skills.emsidata.com/skills/KS120GV6C72JMSZKMTD7,
https://osmt.wgu.edu/api/skills/02528ca9-5f2c-4181-8d84-ba39e92b2228,Describe Learning Algorithms,Western Governors University,Describe the purpose of learning algorithms for learning analytics.,Data Analysis,Data Analysis; Instructional Design; Learner Analytics; WGUSID: 10969,InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ISTE_EdLeaders_2a,,25-0000,25-9000,25-9030,25-9031,,,Data Analysis,https://skills.emsidata.com/skills/KS120GV6C72JMSZKMTD7,
https://osmt.wgu.edu/api/skills/d90db1da-6fc4-4020-b5d7-af32705a184a,Data Collection Rule Development,Western Governors University,Develop business rules for processing and collecting data.,Data Analysis,Data Analysis; Ripjar Data Intelligence Platform; Instructional Design; Tableau; Microsoft Power BI; WGUSID: 2051.1,InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ATD.Org.DA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ATD.Org.ODC; ATD.Pers.CL; ATD.Pers.PM; ATD.Org.CBP; ISTE_EdLeaders_4a,,11-0000; 13-0000; 15-0000; 19-0000; 25-0000; 37-0000; 39-0000,11-1000; 11-2000; 11-3000; 11-9000; 13-1000; 13-2000; 15-1200; 25-4000; 25-9000,11-1010; 11-1020; 11-2020; 11-3010; 11-3030; 11-3050; 11-3070; 11-9020; 11-9150; 11-9190; 13-1050; 13-1070; 13-1110; 13-1160; 13-2010; 13-2040; 15-1210; 25-4020; 25-9030; 25-9090,11-1011; 11-1021; 11-2022; 11-3031; 11-3051; 11-3071; 11-9021; 11-9151; 11-9198; 13-1051; 13-1071; 13-1111; 13-1161; 13-2011; 13-2041; 25-4022; 25-9031,,,Data Analysis,https://skills.emsidata.com/skills/KS120GV6C72JMSZKMTD7,
https://osmt.wgu.edu/api/skills/4a6b49c8-d04e-49b4-886e-3ef74a53a275,Learning Technology Capabilities Evaluation for Data Collection,Western Governors University,Evaluate learning technology capabilities for data collection.,Data Collection,Instructional Design; Data Collection; Learning Analytics; Learning Management Systems; WGUSID: 10936,InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c,,11-0000; 25-0000,11-9000; 25-9000,11-9030; 25-9030,11-9033; 11-9039; 25-9031,,,Data Collection,https://skills.emsidata.com/skills/KS122NR6NY1KB0TD40G4,
https://osmt.wgu.edu/api/skills/b9393280-38c9-4e26-b391-62401fe5942d,Select Learning Technologies,Western Governors University,Select learning technologies that align to educational data requirements.,Data Collection,Instructional Design; Data Collection; Learning Analytics; Learning Management Systems; WGUSID: 10939,InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE_EdLeaders_3a; ISTE_EdLeaders_3b,,25-0000,25-9000,25-9030,25-9031,,,Data Collection,https://skills.emsidata.com/skills/KS122NR6NY1KB0TD40G4,
https://osmt.wgu.edu/api/skills/074c0199-cd1e-4e64-a90f-b23ee8ac395c,Build Predictive Models,Western Governors University,Build predictive models for learner analytics.,Data Collection,Instructional Design; Data Collection; Learner Analytics; WGUSID: 10942,InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ISTE_Educators_5b; ISTE_EdLeaders_4a; ISTE_Educators_4a,,25-0000,25-9000,25-9030,25-9031,,,Data Collection,https://skills.emsidata.com/skills/KS122NR6NY1KB0TD40G4,
https://osmt.wgu.edu/api/skills/41f2e060-c850-4f4e-8f96-25a357d105c0,Describe Predictive Models,Western Governors University,Describe predictive models for learner analytics.,Data Collection,Instructional Design; Data Collection; Learner Analytics; WGUSID: 10943,ISTE_EdLeaders_2d; InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ISTE_Educators_1c; ISTE_Educators_6c,,25-0000,25-9000,25-9030,25-9031,,,Data Collection,https://skills.emsidata.com/skills/KS122NR6NY1KB0TD40G4,
https://osmt.wgu.edu/api/skills/628ff25a-8dcc-47ed-a0ef-03d206a28c7c,Visualization Exploration,Western Governors University,Explore data using data visualizations.,Data Presentation,GeneralEducation2019; Data Analysis; Data Presentation,InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ATD.Org.DA; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TA; ATD.Prof.TDF; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ATD.Pers.CL; ATD.Pers.PM; ATD.Org.CBP; ISTE_Educators_5b; ISTE_Educators_5c; ISTE_EdLeaders_2a; ATD.Prof.TDFISTE_Educators_5a,,25-0000,25-4000; 25-9000,25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Data Presentation,https://skills.emsidata.com/skills/KS122PR6NQSP5DX6GKPW,
https://osmt.wgu.edu/api/skills/9e85c919-df57-4a11-8c83-39a3e6f85d87,Learning Technology Capabilities Evaluation for Data Visualization,Western Governors University,Evaluate learning technology capabilities for data visualization.,Data Visualization,Instructional Design; Learning Analytics; Learning Management Systems; Data Visualization; WGUSID: 10937,ISTE_Educators_7c; InTASC_3a; InTASC_3d; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c; ISTE_Educators_7a; ISTE_Educators_7b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d,,25-0000,25-9000,25-9030,25-9031,,,Data Visualization,https://skills.emsidata.com/skills/KS122Q960QYMW3YH0YWF,
https://osmt.wgu.edu/api/skills/c35a233f-790a-48ad-bd50-94884cbd1efc,Learning Analytic Methodologies to Differentiate,Western Governors University,Apply learning analytics methodologies to differentiate instruction.,Differentiated Instruction,Differentiated Instruction; Instructional Design; Learner Analytics; WGUSID: 10956,InTASC_3a; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE_EdLeaders_2c; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ISTE_Educators_1c; ISTE_Educators_6a; ISTE_Educators_6b; ISTE_Educators_6c; ISTE_Educators_6d; AAQEP_1a; ISTE_EdLeaders_2e; NSQ_Teaching_D1,,25-0000,25-9000,25-9030,25-9031,,,Differentiated Instruction,https://skills.emsidata.com/skills/KS122XY6C5JW4HMT0VT7,
https://osmt.wgu.edu/api/skills/960d9e1f-d563-421c-9043-773b12732bde,Differentiated Instruction Strategy Selection,Western Governors University,Select strategies that support differentiated instruction for students.,Differentiated Instruction,Special Education; TC-ProfessionalCore2019; Differentiated Instruction; Lesson Planning; WGUSID: 6211; TC Disposition 1; Healthy Learning Strategies,InTASC_3a; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ISTE_Educators_1c; ISTE_Educators_2b; ISTE_Educators_3a; ISTE_Educators_3b; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE.Coach.LD.4c; ISTE.Coach.PLF.5bAAQEP_1a; ISTE_EdLeaders_3b; ISTE.Coach.CA.1b; ISTE_EdLeaders_3d; InTASC_8a; NAEYC_4b,,25-0000,25-1000; 25-2000; 25-4000; 25-9000,25-1020; 25-1040; 25-1050; 25-1080; 25-2020; 25-2030; 25-2050; 25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Differentiated Instruction,https://skills.emsidata.com/skills/KS122XY6C5JW4HMT0VT7,
https://osmt.wgu.edu/api/skills/a96b69d9-2144-47b0-948b-79d5f3563f20,Education Theory Selection,Western Governors University,Select appropriate education theories based on the educational needs analysis.,Education Theories,Education Theories; WGUSID: 909,InTASC_3a; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_6p; InTASC_8n; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ISTE.Coach.CL.2a; ISTE.Coach.CL.2b; ISTE.Coach.PLF.5a; ISTE_Educators_1c; ISTE.Coach.LD.4c; ISTE.Coach.PLF.5bAAQEP_1a; InTASC_7i; ISTE_EdLeaders_3d,,25-0000,25-4000; 25-9000,25-4020; 25-9030; 25-9090,25-4022; 25-9031,,,Education Theories,https://skills.emsidata.com/skills/KS123C3758Q6YTCK5B6R,
https://osmt.wgu.edu/api/skills/a9afd0d1-0949-44e4-a684-44e92096ce1a,Assessment Tool Development,Western Governors University,Develop assessment tools for programming and instruction.,Educational Evaluation,Educational Evaluation; WGUSID: 2447,ISTE_Educators_7c; InTASC_3a; InTASC_3i; InTASC_3m; InTASC_3n; InTASC_4g; InTASC_8n; ATD.Prof.EI; ATD.Prof.ID; ATD.Prof.TDF; ISTE.Coach.C.3a; ISTE.Coach.CA.1a; ISTE.Coach.CA.1c; ISTE.Coach.CL.2c; ISTE.Coach.LD.4a; ISTE.Coach.LD.4b; ISTE.Coach.LD.4d; ISTE.Coach.PLF.5b; ISTE_Educators_7a; ISTE_Educators_7b; InTASC_3b; InTASC_3e; InTASC_3f; InTASC_3h; InTASC_3l; InTASC_3o; InTASC_4f; InTASC_5d; ATD.Prof.LS; ISTE.Coach.PLF.5a; InTASC_6o; ISTE_Educators_1c; ISTE_Educators_5a; ISTE_Educators_5b; ISTE_Educators_5c; ISTE.Coach.PLF.5bAAQEP_1d; ISTE_EdLeaders_3e,,25-0000,25-4000; 25-9000,25-4020; 25-9030,25-4022; 25-9031,,,Educational Evaluation,https://skills.emsidata.com/skills/KS123C26WT1BJCGR08PQ,
